isamongtopscorers	yellows	isamongtopscorersinteam	leaguegoals	jerseynumber	position	artificialkey	teamid	leaguegoalsprevmatch	injury	leagueappearances	istopscorer	leaguegoalsprevthreematches	playerid	form	reds
0	0	0	0	1	0	0	269	0	0	0	0	0	228505	3	0
0	0	0	0	24	3	1	269	0	0	0	0	0	264515	3	0
0	0	0	0	31	4	2	269	0	0	0	0	0	219814	3	0
0	0	0	0	5	5	3	269	0	0	0	0	0	225948	3	0
0	0	0	0	30	6	4	269	0	0	0	0	0	212121	3	0
0	0	0	0	27	7	5	269	0	0	0	0	0	233178	3	0
0	0	1	1	7	23	6	269	0	0	0	0	0	251356	3	0
0	0	0	0	10	13	7	269	0	0	0	0	0	172522	3	0
0	0	0	0	35	15	8	269	0	0	0	0	0	71170	3	0
0	0	1	1	37	27	9	269	0	0	0	0	0	278359	3	0
1	0	1	2	11	25	10	269	0	0	0	0	0	257157	3	0
0	0	0	0	19	28	11	269	0	0	0	0	0	79557	3	0
0	0	0	0	18	28	12	269	0	0	0	0	0	79556	3	0
0	0	0	0	6	28	13	269	0	0	0	0	0	227622	3	0
0	0	0	0	32	28	14	269	0	0	0	0	0	250851	3	0
0	0	0	0	16	28	15	269	0	0	0	0	0	215693	3	0
0	0	0	0	4	28	16	269	0	0	0	0	0	245900	3	0
0	0	0	0	2	28	17	269	0	0	0	0	0	251908	3	0
0	0	0	0	8	28	18	269	0	0	0	0	0	272596	3	0
0	0	0	0	17	28	19	269	0	0	0	0	0	259159	3	0
0	0	0	0	13	28	20	269	0	0	0	0	0	271112	3	0
0	0	0	0	42	28	21	269	0	0	0	0	0	77393	3	0
0	0	0	0	38	28	22	269	0	0	0	0	0	77394	3	0
0	0	0	0	1	0	23	270	0	0	0	0	0	200209	3	0
0	0	0	0	19	3	24	270	0	0	0	0	0	213835	3	0
0	0	0	0	3	4	25	270	0	0	0	0	0	257036	3	0
0	0	0	0	4	6	26	270	0	0	0	0	0	266890	3	0
0	0	0	0	2	7	27	270	0	0	0	0	0	236875	3	0
0	0	0	0	17	23	28	270	0	0	0	0	0	243666	3	0
0	0	0	0	20	13	29	270	0	0	0	0	0	243891	3	0
