presassetone	powid	teamcolor1g	hassubstitutionboard	rightfreekicktakerid	flamethrowercannon	domesticprestige	teamcolor1r	genericint2	cksupport7	defensivedepth	hasvikingclap	jerseytype	pitchcolor	cksupport9	pitchwear	clubworth	popularity	hastifo	presassettwo	teamstadiumcapacity	stadiumgoalnetstyle	iscompetitionscarfenabled	cityid	teamcolor2b	rivalteam	playsurfacetype	isbannerenabled	goalnetstanchioncolor2g	midfieldrating	cksupport8	stadiummowpattern_code	cksupport6	matchdayoverallrating	matchdaymidfieldrating	assetid	attackrating	teamcolor2r	foundationyear	longitude	buildupplay	matchdaydefenserating	hasstandingcrowd	favoriteteamsheetid	defenserating	iscompetitionpoleflagenabled	skinnyflags	uefa_consecutive_wins	longkicktakerid	trait1vweak	iscompetitioncrowdcardsenabled	goalnetstanchioncolor2r	rightcornerkicktakerid	throwerleft	gender	cksupport1	cornerflagpolecolor	teamcolor3r	uefa_cl_wins	hassuncanthem	domesticcups	goalnetstanchioncolor1b	teamcolor1b	ethnicity	leftcornerkicktakerid	opponentweakthreshold	youthdevelopment	latitude	teamid	uefa_el_wins	trait1vequal	teamcolor3g	numtransfersin	opponentstrongthreshold	stanchionflamethrower	stadiumgoalnetpattern	throwerright	captainid	personalityid	goalnetstanchioncolor2b	prev_el_champ	leftfreekicktakerid	cksupport2	goalnetstanchioncolor1r	leaguetitles	genericbanner	crowdregion	uefa_uecl_wins	overallrating	ballid	teamcolor2g	profitability	utcoffset	penaltytakerid	goalnetstanchioncolor1g	pitchlinecolor	teamname	cksupport5	freekicktakerid	crowdskintonecode	internationalprestige	cksupport3	haslargeflag	trainingstadium	form	genericint1	cksupport4	teamcolor3b	trait1vstrong	matchdayattackrating
0	-1	26	0	234378	0	10	218	-1	0	65	0	2	3	0	0	2500000	9	0	0	60704	0	0	285	255	18	0	1	1	85	0	1	0	84	85	1	84	255	1886	0	1	83	0	-1	83	0	0	0	234378	131586	2	1	246669	0	0	0	0	228	0	0	14	1	53	4	234378	3	7	51	1	0	132098	206	0	3	0	0	0	222665	1	1	0	234378	0	1	13	0	3	0	84	151	255	9	0	222665	1	0	Arsenal	0	234378	2	9	0	0	316	0	-1	0	60	270338	84
0	-1	0	0	200458	1	7	102	-1	0	50	0	2	4	0	0	800000	7	0	0	42657	0	2	54	229	109	0	2	1	80	0	1	0	80	80	2	84	148	1874	-1	2	80	0	-1	80	0	0	0	216393	132224	2	1	200458	0	0	0	0	124	1	0	7	1	51	3	216393	2	5	52	2	0	270464	47	0	2	0	0	0	210881	1	1	0	216393	0	1	7	0	3	0	80	151	190	9	0	221697	1	0	Aston Villa	0	200458	2	7	0	0	316	0	-1	0	78	4198528	84
0	-1	76	0	225748	0	5	1	-1	0	30	0	2	4	0	0	39000	4	0	0	31367	0	2	55	255	1796	0	2	76	70	0	1	0	69	70	3	69	255	1875	-2	2	70	0	-1	70	2	0	0	225748	4195344	2	1	225748	0	0	0	0	1	0	0	6	182	182	6	225748	1	7	53	3	0	532496	76	0	1	0	0	0	234319	1	182	0	225748	0	1	3	0	3	0	69	55	255	4	0	245652	76	0	Blackburn Rovers	0	225748	2	1	0	0	366	0	-1	0	202	528400	69
0	-1	255	0	229073	0	8	255	-1	0	65	0	2	4	0	0	8000	4	0	0	28723	0	2	61	63	1917	0	2	28	66	0	1	0	66	66	4	66	8	1874	-2	1	66	0	-1	66	2	0	0	239377	132224	0	14	239377	0	0	0	0	255	0	0	4	80	255	2	229073	1	8	53	4	0	132224	255	0	1	0	0	0	212366	0	80	0	229073	0	14	0	0	3	0	66	55	21	7	0	236528	28	0	Bolton Wanderers	0	229073	2	1	0	0	366	0	-1	0	255	270464	66
0	-1	20	0	257534	1	8	0	-1	0	50	0	2	3	0	0	2340000	9	0	0	40343	0	2	285	255	1	0	1	85	82	0	1	0	81	82	5	79	255	1905	0	1	80	1	-1	80	1	0	0	257534	132233	3	48	257534	0	0	0	0	28	2	0	8	200	137	4	247090	2	4	51	5	2	263305	75	0	2	0	0	0	238074	0	200	0	257534	0	48	6	0	3	1	81	151	255	10	0	257534	85	0	Chelsea	0	257534	2	8	0	0	316	0	-1	0	160	4202633	79
0	-1	54	0	243282	0	4	0	-1	0	30	0	2	4	0	0	700000	7	0	0	39414	0	0	282	255	9	0	2	54	76	0	1	0	76	76	7	76	255	1878	-2	2	76	0	-1	76	0	0	0	243657	4195400	2	0	243282	0	0	0	0	45	0	0	5	156	156	1	243282	2	5	53	7	0	532552	99	0	2	0	0	0	204935	0	156	0	243282	0	0	9	0	3	0	76	151	255	4	0	251892	54	0	Everton	0	243282	2	4	0	0	316	0	-1	0	201	528456	76
0	-1	255	0	247361	0	2	255	-1	0	90	0	1	5	0	0	390000	7	0	0	37890	0	2	269	134	11	0	1	205	75	0	1	0	76	75	8	75	46	1919	-1	1	76	0	-1	76	2	0	0	247361	66689	2	235	247361	0	0	0	0	235	0	0	1	134	255	3	247361	2	4	53	8	0	66689	225	0	2	0	0	0	235735	0	0	0	247361	0	46	3	0	3	0	76	151	67	7	0	247249	67	0	Leeds United	0	247361	2	1	0	0	366	0	-1	0	1	139393	75
0	-1	27	0	239837	0	10	227	-1	0	65	0	1	3	0	0	4650480	9	0	0	53394	0	1	282	255	11	0	1	1	85	0	1	0	84	85	9	83	255	1892	-2	1	84	0	-1	84	1	0	0	239837	131712	3	1	239837	0	0	0	0	255	6	0	8	1	35	3	239837	3	4	53	9	3	132224	215	0	3	0	0	0	203376	0	1	0	239837	0	1	20	0	3	0	84	151	255	6	0	209331	1	0	Liverpool	0	239837	2	10	0	0	316	0	-1	0	0	270464	83
0	-1	173	0	237692	0	10	108	-1	0	65	0	2	4	0	0	4564360	9	1	0	53400	0	1	300	255	11	0	2	177	85	0	1	0	84	85	10	85	255	1880	-2	1	82	1	-1	82	1	0	0	237692	131712	3	133	237692	0	0	0	0	0	1	0	7	222	233	2	237692	3	3	53	10	0	132224	40	0	3	0	0	0	239818	1	222	0	237692	0	133	10	0	3	0	84	151	255	8	0	239085	177	0	Manchester City	0	237692	2	10	0	0	316	0	-1	0	94	270464	85
0	-1	1	0	212198	0	7	199	-1	0	50	0	2	5	0	0	5683920	10	0	0	74310	0	0	300	255	9	0	0	1	82	0	1	0	80	82	11	81	255	1878	-2	2	79	1	-1	79	0	0	0	212198	132244	0	1	212198	0	0	0	0	30	3	0	13	1	1	4	212198	2	9	53	11	1	270484	30	0	2	0	0	0	212198	0	1	0	212198	0	1	20	0	3	0	80	151	255	6	0	212198	1	0	Manchester United	0	212198	2	7	0	0	316	0	-1	0	30	4198548	81
0	-1	25	0	253054	0	7	224	-1	0	50	0	2	4	0	0	80000	5	0	0	33931	0	2	315	255	13	0	2	1	72	0	1	0	71	72	12	70	255	1876	-1	1	70	0	-1	70	2	0	0	253054	263298	2	1	252066	0	0	0	0	235	0	0	0	1	34	2	253054	1	6	54	12	0	4195458	25	0	1	0	0	0	253054	0	1	0	253054	0	1	0	0	3	0	71	55	255	6	0	261283	1	0	Middlesbrough	0	253054	2	1	0	0	366	0	-1	0	34	532610	70
0	-1	30	0	241096	0	8	30	-1	0	65	0	2	4	0	0	900000	7	0	0	52305	0	0	342	255	106	0	2	40	84	0	1	0	81	84	13	82	255	1892	-1	3	80	0	-1	80	0	0	0	247851	135296	2	9	242964	0	0	0	0	30	0	0	6	25	30	2	242964	2	5	54	13	0	133248	30	0	2	0	0	0	247851	0	25	0	241096	0	9	4	0	3	0	81	151	255	10	0	233731	40	0	Newcastle United	0	241096	2	8	0	0	316	0	-1	0	30	264320	82
0	-1	36	0	236015	0	6	221	-1	0	50	0	2	5	0	0	440000	6	0	0	30445	0	2	352	255	91	0	2	36	78	0	1	0	79	78	14	79	255	1865	-1	3	80	0	-1	80	2	0	0	236015	135488	2	221	236015	0	0	0	0	210	2	0	2	33	33	5	236015	2	6	52	14	0	264512	36	0	2	0	0	0	236015	0	33	0	236015	0	221	1	0	3	0	79	151	255	10	0	192123	36	0	Nottingham Forest	0	236015	2	6	0	0	366	0	-1	0	33	4196672	79
0	-1	66	0	238490	0	5	32	-1	0	30	0	2	4	0	0	35000	4	0	0	18439	5	2	285	255	144	0	2	43	70	0	1	0	70	70	15	69	255	1882	0	2	69	0	-1	69	2	0	0	238490	4195584	2	31	238490	0	0	0	0	32	0	0	0	109	151	2	243223	1	6	51	15	0	532736	66	0	1	0	0	0	193011	0	109	0	238490	0	31	0	0	3	0	70	55	255	5	0	243223	43	0	Queens Park Rangers	0	238490	2	1	0	0	366	0	-1	0	171	528640	69
0	-1	0	0	270857	1	10	228	-1	0	90	0	1	3	0	0	200000	6	0	0	32384	0	0	459	255	1790	0	2	26	73	0	1	0	73	73	17	72	255	1885	-1	1	73	0	-1	73	0	0	0	270857	66688	2	236	270857	0	0	0	0	211	0	0	1	27	43	1	270857	2	8	50	17	0	66688	10	0	2	0	0	0	202697	1	27	0	270857	0	236	0	0	3	0	73	55	255	7	0	221841	26	0	Southampton	0	270857	2	2	0	0	366	0	-1	0	10	139392	72
0	-1	255	0	220697	0	7	255	-1	0	90	0	1	6	0	0	2430000	8	1	0	62850	0	0	285	75	1	0	1	37	81	0	1	0	81	81	18	81	15	1882	0	1	81	1	-1	81	2	0	0	220697	66692	3	29	220697	0	0	0	0	153	0	0	8	110	255	2	220697	2	6	51	18	3	66692	177	0	2	0	0	0	200104	1	110	1	220697	0	29	2	0	3	0	81	151	32	8	0	200104	37	0	Tottenham Hotspur	0	220697	2	7	0	0	316	0	-1	0	211	139396	81
1	-1	37	0	205569	0	3	123	-1	0	30	0	2	3	0	0	915300	7	0	0	60000	0	1	285	231	97	0	2	38	78	0	1	0	78	78	19	80	27	1895	0	2	78	0	-1	78	0	0	0	205569	4195472	2	16	205569	0	0	0	0	100	0	0	3	32	57	2	205569	2	6	51	19	0	532624	30	0	2	0	0	0	224371	0	32	0	205569	0	16	0	0	3	1	78	151	177	8	0	224371	38	0	West Ham United	0	205569	2	4	0	0	316	0	-1	0	60	528528	80
0	-1	1	1	202126	0	10	255	-1	0	65	0	2	4	0	0	4335499	8	1	0	75000	1	1	333	255	32	0	1	1	83	0	1	0	84	83	21	89	255	1900	11	1	83	1	-1	83	1	0	0	212622	131716	0	200	247827	0	0	0	0	29	6	0	20	1	60	6	212622	3	5	48	21	1	132228	29	0	3	0	0	0	167495	0	1	0	247827	0	200	34	0	4	0	84	25	255	3	1	202126	1	0	Bayern München	0	247827	2	9	0	0	316	0	-1	0	27	270468	89
0	-1	217	1	190765	0	9	255	-1	0	65	0	2	4	0	0	1742700	9	1	0	81365	12	1	141	1	21	0	1	157	80	0	1	0	81	80	22	81	1	1909	7	3	81	1	-1	81	1	0	0	190765	135300	3	149	259716	0	0	0	0	245	1	0	5	152	1	2	259716	2	7	51	22	0	133252	255	0	2	0	0	0	235073	0	152	0	190765	0	149	8	0	4	0	81	25	1	3	1	215441	157	0	Borussia Dortmund	0	190765	2	8	0	0	316	0	-1	0	1	264324	81
0	-1	1	1	204497	0	6	1	-1	0	50	0	2	4	0	0	308720	7	1	0	54042	8	1	322	255	31	0	1	1	76	0	1	0	76	76	23	76	255	1900	6	2	75	1	-1	75	1	0	0	239367	132098	3	1	220876	0	0	0	0	122	0	0	3	255	1	3	220876	2	7	51	23	2	270338	185	0	2	0	0	0	223550	0	1	0	204497	0	255	5	0	4	0	76	25	255	3	1	204497	255	0	Borussia M'gladbach	0	204497	2	5	0	0	366	0	-1	0	41	4198402	76
0	-1	1	1	212096	4	5	228	-1	0	50	0	2	4	0	0	297500	5	0	0	34700	1	1	168	1	36	0	1	1	76	0	1	0	76	76	25	74	1	1904	7	1	77	1	-1	77	1	0	0	212096	132098	1	220	212096	0	0	0	0	255	0	0	0	1	43	3	212096	2	10	48	25	0	263170	255	0	2	0	0	0	209846	0	1	0	212096	0	220	0	0	4	0	76	25	1	4	1	212096	1	0	SC Freiburg	0	212096	2	4	0	0	366	0	-1	0	255	4202498	74
0	-1	110	0	276319	0	10	1	-1	0	50	1	2	4	0	2	9850	8	0	0	29000	5	1	641	255	110329	0	1	235	65	0	1	0	66	65	27	67	255	1965	12	3	66	1	-1	66	1	0	0	211891	270592	1	235	276319	0	0	0	0	255	0	0	0	235	184	2	276319	1	7	54	27	0	4198656	41	0	1	0	0	0	262635	1	235	0	276319	0	235	0	0	4	0	66	91	255	1	1	211891	235	0	Hansa Rostock	0	276319	2	1	0	0	366	0	-1	0	31	526592	67
0	-1	90	1	232839	0	2	1	-1	0	50	0	2	4	0	0	195200	8	1	2	57000	11	1	205	255	110329	0	1	180	72	0	1	0	72	72	28	72	255	1887	9	3	70	1	-1	70	1	0	0	232839	270337	3	180	232839	0	0	0	0	1	1	0	3	180	170	3	224970	2	6	53	28	0	4198401	1	0	2	0	0	0	269962	0	180	0	224970	0	180	6	0	4	0	72	25	255	2	1	224970	180	0	Hamburger SV	0	224970	2	3	0	0	366	0	-1	0	1	526337	72
0	-1	1	0	223755	0	6	255	-1	0	65	0	2	4	0	2	26800	8	0	0	49850	0	1	238	255	1832	0	1	210	69	0	1	0	69	69	29	69	255	1900	7	1	68	1	-1	68	1	0	0	73135	132097	1	210	73135	0	0	0	0	153	0	0	2	210	1	3	73135	1	7	49	29	0	132097	24	0	1	0	0	0	223755	1	210	0	223755	0	210	4	0	4	0	69	27	255	4	1	223755	210	0	1. FC Kaiserslautern	0	223755	2	1	0	0	366	0	-1	0	65	270337	69
0	-1	41	1	223633	0	2	218	-1	0	30	0	2	4	0	0	181055	10	0	0	50000	1	1	249	255	23	0	1	1	73	0	1	0	73	73	31	74	255	1948	6	3	72	1	-1	72	1	0	0	223633	4202624	3	1	223633	0	0	0	0	1	0	0	4	1	28	3	223633	2	8	50	31	0	528512	1	0	2	0	0	0	234727	1	1	0	223633	0	1	3	0	4	0	73	25	255	2	1	195038	1	0	1. FC Köln	0	223633	2	3	0	0	366	0	-1	0	1	526464	74
0	-1	1	1	210035	0	9	255	-1	0	65	0	2	4	0	0	555720	4	1	0	30210	0	1	277	1	21	0	1	210	80	0	1	0	80	80	32	81	1	1904	7	1	79	1	-1	79	1	0	0	210035	132096	3	210	210035	0	0	0	0	255	0	0	2	210	1	3	210035	2	7	51	32	1	132096	255	0	2	0	0	0	212242	0	210	0	210035	0	210	1	0	4	0	80	25	1	9	1	234236	210	0	Bayer 04 Leverkusen	0	210035	2	7	0	0	316	0	-1	0	255	270336	81
